date,side,ticker,shares,price,value,reason,momentum,sentiment,combined
2026-08-05,BUY,SNOW,5.543,317.49,1760.0,breakout,100.0,64.7,85.9
2026-08-05,BUY,PATH,124.031,14.19,1760.0,breakout,87.5,64.6,78.3
2026-08-05,BUY,MSFT,3.546,496.36,1760.0,breakout,75.0,53.2,66.3
2026-08-05,BUY,PLTR,10.864,162.0,1760.0,breakout,62.5,50.9,57.9
2026-08-05,BUY,BLK,1.544,1138.5,1758.24,breakout,50.0,49.2,49.7
2026-08-18,SELL,MSFT,3.546,481.54,1707.47,1.5-ATR trail,,,
2026-08-18,BUY,MPC,4.701,363.06,1706.79,breakout,100.0,59.2,83.7
2026-08-21,SELL,BLK,1.544,1150.68,1777.05,1.5-ATR trail,,,
2026-08-21,BUY,MRNA,13.412,132.5,1777.05,breakout,100.0,,
2026-08-26,SELL,SNOW,5.543,309.44,1715.37,1.5-ATR trail,,,
2026-08-26,BUY,ABNB,9.014,190.3,1715.37,breakout,92.3,,
2026-09-03,SELL,PLTR,10.864,172.35,1872.44,1.5-ATR trail,,,
2026-09-04,BUY,TEAM,9.87,189.71,1872.44,breakout,100.0,,
